IATA,Airport,Location,Area,Passenger Role,2010,2011,2012,2013,2014,2015,2016,2017
CAN,Guangzhou Baiyun International Airport,Guangzhou,east_asia,Large,40975673.0,45040340.0,48548430.0,52450262.0,54780346.0,55201915.0,59732147.0,65806977.0
CAP,Hugo Chávez International Airport,Cap-Haïtien,carribean,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAY,Cayenne-Rochambeau Airport,Cayenne,south_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBQ,Margaret Ekpo International Airport,Calabar,west_africa,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBR,Canberra Airport,Canberra,oceania,Small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2995470.0
CCC,Jardines del Rey Airport,Cayo Coco,carribean,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCF,Salvaza Airport,Carcassonne,france,Non-Hub,0.0,0.0,0.0,0.0,413724.0,0.0,0.0,0.0
CCJ,Calicut International Airport,Kozhikode,south_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCK,Cocos (Keeling) Islands Airport,Cocos (Keeling Islands),oceania,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCP,Carriel Sur International Airport,Concepción,south_america,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCS,Simón Bolívar International Airport,Caracas,south_america,Medium,8830688.0,9911843.0,0.0,11956178.0,0.0,0.0,0.0,0.0
CCU,Netaji Subhash Chandra Bose International Airport,Kolkata,south_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCZ,Chub Cay International Airport,Chub Cay,carribean,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDG,Charles de Gaulle Airport,Paris,france,Large,58167062.0,60970551.0,61611934.0,62052917.0,63813756.0,65766986.0,65933145.0,69471442.0
CEB,Mactan–Cebu International Airport,"Lapu-Lapu, Philippines",southeast_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEE,Cherepovets Airport,Cherepovets,russia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEI,Mae Fah Luang International Airport,Chiang Rai Province,southeast_asia,Non-Hub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEK,Chelyabinsk Airport,Chelyabinsk,russia,Small,0.0,0.0,0.0,0.0,0.0,1239212.0,0.0,0.0
